Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2025-06-05T09:30:00,215.85,1.01,214.84,0.00,0.00,0.30,0.71
2025-06-05T09:35:00,216.17,1.91,214.26,0.00,0.00,1.11,0.80
2025-06-05T09:40:00,215.52,1.77,213.75,0.00,0.00,0.98,0.79
2025-06-05T09:45:00,216.94,1.27,215.67,0.00,0.00,0.49,0.78
2025-06-05T09:50:00,215.07,1.73,213.34,0.00,0.00,0.95,0.78
2025-06-05T09:55:00,214.54,1.97,212.57,0.00,0.00,1.22,0.75
2025-06-05T10:00:00,215.18,1.35,213.83,0.00,0.00,0.74,0.61
2025-06-05T10:05:00,215.05,3.44,211.61,0.00,0.00,2.78,0.66
2025-06-05T10:10:00,219.4,2.23,217.17,0.00,0.00,1.49,0.74
2025-06-05T10:15:00,220.78,1.28,219.50,0.00,0.00,0.48,0.80
2025-06-05T10:20:00,217.82,1.93,215.89,0.00,0.00,1.15,0.78
2025-06-05T10:25:00,219.08,2.1,216.98,0.00,0.00,1.48,0.62
2025-06-05T10:35:00,219.6,1.52,218.08,0.00,0.00,0.78,0.74
2025-06-05T10:40:00,223.97,2.7,221.27,0.00,0.00,1.90,0.80
2025-06-05T10:45:00,223.13,3,220.13,0.00,0.00,2.18,0.82
2025-06-05T10:50:00,220.31,2.85,217.46,0.00,0.00,2.05,0.80
2025-06-05T10:55:00,228.38,5.98,222.40,0.00,0.00,5.16,0.82
2025-06-05T11:00:00,224.13,5.29,218.84,0.00,0.00,4.63,0.66
2025-06-05T11:05:00,219.44,2.11,217.33,0.00,0.00,1.49,0.62
2025-06-05T11:10:00,222.23,2.98,219.25,0.00,0.00,2.28,0.70
2025-06-05T11:15:00,222.87,3.38,219.49,0.00,0.00,2.61,0.77
2025-06-05T11:20:00,217.68,1.45,216.23,0.00,0.00,0.62,0.83
2025-06-05T11:25:00,216.66,1.61,215.05,0.00,0.00,0.79,0.82
2025-06-05T11:30:00,216.27,1.71,214.56,0.00,0.00,0.88,0.83
2025-06-05T11:35:00,215.86,1.24,214.62,0.00,0.00,0.51,0.73
