Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2025-06-05T09:30:00,298.21,15.69,282.52,3.51,0.00,0.00,12.18
2025-06-05T09:35:00,300.61,16.08,284.53,3.85,0.00,0.00,12.23
2025-06-05T09:40:00,299.71,16.18,283.53,3.84,0.00,0.04,12.30
2025-06-05T09:45:00,304.73,15.02,289.71,3.04,0.00,0.10,11.88
2025-06-05T09:50:00,301.97,14.99,286.98,2.99,0.00,0.08,11.92
2025-06-05T09:55:00,301.09,16.13,284.96,3.57,0.00,0.01,12.55
2025-06-05T10:00:00,298.91,16.77,282.14,5.00,0.00,0.00,11.77
2025-06-05T10:05:00,291.21,18.77,272.44,6.54,0.00,0.00,12.23
2025-06-05T10:10:00,293.61,19.54,274.07,7.33,0.00,0.02,12.19
2025-06-05T10:15:00,294.08,17.29,276.79,6.05,0.00,0.07,11.17
2025-06-05T10:20:00,294.01,16.75,277.26,5.27,0.00,0.00,11.48
2025-06-05T10:25:00,293.8,16.65,277.15,5.00,0.00,0.00,11.65
2025-06-05T10:35:00,291.82,15.62,276.20,4.37,0.00,0.00,11.25
2025-06-05T10:40:00,288.14,19.49,268.65,8.22,0.00,0.04,11.23
2025-06-05T10:45:00,286.17,23.03,263.14,11.64,0.00,0.00,11.39
2025-06-05T10:50:00,283.78,22.8,260.98,11.83,0.00,0.00,10.97
2025-06-05T10:55:00,284.55,23.2,261.35,11.69,0.00,0.00,11.51
2025-06-05T11:00:00,285.13,26.77,258.36,15.49,0.00,0.00,11.28
2025-06-05T11:05:00,279.27,29.89,249.38,19.04,0.00,0.05,10.80
2025-06-05T11:10:00,276.42,29.03,247.39,18.24,0.00,0.03,10.76
2025-06-05T11:15:00,279.68,24.21,255.47,13.39,0.00,0.00,10.82
2025-06-05T11:20:00,280.95,27.33,253.62,16.08,0.00,0.00,11.25
2025-06-05T11:25:00,281.32,26.04,255.28,14.69,0.00,0.03,11.32
2025-06-05T11:30:00,284.81,28.75,256.06,17.32,0.00,0.08,11.35
2025-06-05T11:35:00,287.13,28.16,258.97,15.99,0.00,0.02,12.15
2025-06-05T11:40:00,284.45,27.7,256.75,15.77,0.00,0.00,11.93
2025-06-05T11:45:00,289.29,29.25,260.04,17.62,0.00,0.02,11.61
2025-06-05T11:50:00,289.43,29.99,259.44,18.54,0.00,0.07,11.38
2025-06-05T11:55:00,287.94,32.63,255.31,21.43,0.00,0.02,11.18
2025-06-05T12:00:00,283.11,26.49,256.62,15.17,0.00,0.01,11.31
2025-06-05T12:05:00,282.38,26.97,255.41,15.56,0.00,0.00,11.41
2025-06-05T12:10:00,282.02,23.11,258.91,11.64,0.00,0.00,11.47
2025-06-05T12:15:00,282.44,27.75,254.69,16.47,0.00,0.00,11.28
2025-06-05T12:20:00,280.62,27.3,253.32,16.25,0.00,0.06,10.99
2025-06-05T12:25:00,279.77,25.83,253.94,14.90,0.00,0.00,10.93
2025-06-05T12:30:00,280.45,21.95,258.50,11.11,0.00,0.00,10.84
2025-06-05T12:35:00,280.3,20.53,259.77,9.79,0.00,0.00,10.74
2025-06-05T12:40:00,273.25,23.47,249.78,12.42,0.00,0.00,11.05
2025-06-05T12:45:00,275.33,28.8,246.53,17.38,0.00,0.03,11.39
2025-06-05T12:50:00,276.42,28.17,248.25,17.02,0.00,0.00,11.15
2025-06-05T12:55:00,276.48,30.06,246.42,18.76,0.00,0.00,11.30
2025-06-05T13:00:00,275.37,29.49,245.88,18.18,0.00,0.00,11.31
2025-06-05T13:05:00,269.07,28.65,240.42,17.34,0.00,0.00,11.31
2025-06-05T13:10:00,266.71,26.49,240.22,15.51,0.00,0.03,10.95
2025-06-05T13:15:00,270.84,28.54,242.30,17.32,0.00,0.03,11.19
2025-06-05T13:20:00,275.17,31.76,243.41,21.07,0.00,0.00,10.69
2025-06-05T13:25:00,275.52,30.23,245.29,19.08,0.00,0.00,11.15
2025-06-05T13:30:00,273.85,23.64,250.21,13.06,0.00,0.00,10.58
2025-06-05T13:35:00,277.59,26.12,251.47,15.44,0.00,0.05,10.63
2025-06-05T13:40:00,277.25,27.43,249.82,16.90,0.00,0.04,10.49
2025-06-05T13:45:00,280,21.93,258.07,11.34,0.00,0.00,10.59
2025-06-05T13:50:00,282.31,21.33,260.98,10.67,0.00,0.06,10.60
2025-06-05T13:55:00,282.18,22.35,259.83,11.36,0.00,0.07,10.92
2025-06-05T14:00:00,276.58,19.69,256.89,8.70,0.00,0.05,10.94
2025-06-05T14:05:00,270.08,20.76,249.32,9.49,0.00,0.00,11.27
2025-06-05T14:10:00,266.66,20.09,246.57,8.97,0.00,0.00,11.12
2025-06-05T14:15:00,263.03,21.24,241.79,10.36,0.00,0.00,10.88
2025-06-05T14:20:00,264.05,25.61,238.44,13.97,0.00,0.00,11.64
2025-06-05T14:25:00,266.74,31.54,235.20,19.98,0.00,0.00,11.56
2025-06-05T14:30:00,264.77,27.32,237.45,15.69,0.00,0.00,11.63
2025-06-05T14:35:00,256.35,20.74,235.61,9.17,0.00,0.00,11.57
2025-06-05T14:40:00,256.87,20.21,236.66,8.79,0.00,0.00,11.42
2025-06-05T14:45:00,258.71,21.82,236.89,10.16,0.00,0.00,11.66
2025-06-05T14:50:00,265.14,21.09,244.05,9.49,0.00,0.00,11.60
2025-06-05T14:55:00,266.96,19.2,247.76,7.78,0.00,0.00,11.42
2025-06-05T15:00:00,264,20.94,243.06,9.60,0.00,0.00,11.34
2025-06-05T15:05:00,259.52,20.37,239.15,8.95,0.00,0.00,11.42
2025-06-05T15:10:00,259.23,24.33,234.90,13.06,0.00,0.00,11.27
2025-06-05T15:15:00,265.99,24.45,241.54,13.67,0.00,0.03,10.75
