Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2025-06-05T09:30:00,166.46,24.7,141.76,22.59,0.00,2.11,0.00
2025-06-05T09:35:00,167.22,20.96,146.26,18.86,0.00,2.10,0.00
2025-06-05T09:40:00,167.98,23.87,144.11,22.05,0.00,1.82,0.00
2025-06-05T09:45:00,166.7,26.17,140.53,24.53,0.00,1.64,0.00
2025-06-05T09:50:00,164.07,28.21,135.86,26.55,0.00,1.66,0.00
2025-06-05T09:55:00,163,27.27,135.73,25.57,0.00,1.70,0.00
2025-06-05T10:00:00,164.41,28.15,136.26,26.57,0.00,1.58,0.00
2025-06-05T10:05:00,166.38,29.79,136.59,28.02,0.00,1.77,0.00
2025-06-05T10:10:00,165.33,28.44,136.89,25.96,0.00,2.48,0.00
2025-06-05T10:15:00,164.27,22.03,142.24,19.68,0.00,2.35,0.00
2025-06-05T10:20:00,164.24,21.44,142.80,19.65,0.00,1.79,0.00
2025-06-05T10:25:00,166.43,33.46,132.97,31.41,0.00,2.05,0.00
2025-06-05T10:35:00,164.68,42.15,122.53,39.83,0.00,2.32,0.00
2025-06-05T10:40:00,179.03,42.1,136.93,39.87,0.00,2.23,0.00
2025-06-05T10:45:00,181.59,39.49,142.10,36.89,0.00,2.60,0.00
2025-06-05T10:50:00,182.41,42.32,140.09,39.88,0.00,2.44,0.00
2025-06-05T10:55:00,183.93,45.39,138.54,43.10,0.00,2.29,0.00
2025-06-05T11:00:00,175.34,47.79,127.55,45.20,0.00,2.59,0.00
2025-06-05T11:05:00,166.47,55.25,111.22,52.97,0.00,2.28,0.00
2025-06-05T11:10:00,161.69,54.98,106.71,52.70,0.00,2.28,0.00
2025-06-05T11:15:00,157.66,53.5,104.16,50.81,0.00,2.69,0.00
2025-06-05T11:20:00,155.95,53.85,102.10,50.42,0.00,3.43,0.00
2025-06-05T11:25:00,160.43,67.94,92.49,64.61,0.00,3.33,0.00
2025-06-05T11:30:00,159.92,74.84,85.08,71.69,0.00,3.15,0.00
2025-06-05T11:35:00,153.49,70.27,83.22,67.08,0.00,3.19,0.00
2025-06-05T11:40:00,157.89,68.43,89.46,65.25,0.00,3.18,0.00
2025-06-05T11:45:00,159.76,68.59,91.17,65.54,0.00,3.05,0.00
2025-06-05T11:50:00,160.62,71.83,88.79,68.61,0.00,3.22,0.00
2025-06-05T11:55:00,160.27,80.84,79.43,77.35,0.00,3.49,0.00
2025-06-05T12:00:00,156.4,79.71,76.69,76.63,0.00,3.08,0.00
2025-06-05T12:05:00,158.01,82.01,76.00,79.06,0.00,2.95,0.00
2025-06-05T12:10:00,159.8,85.6,74.20,81.98,0.00,3.62,0.00
2025-06-05T12:15:00,159.83,93.04,66.79,89.36,0.00,3.68,0.00
2025-06-05T12:20:00,148.14,78.24,69.90,74.69,0.00,3.55,0.00
2025-06-05T12:25:00,151.02,75.85,75.17,71.99,0.00,3.86,0.00
2025-06-05T12:30:00,153.48,78.68,74.80,75.20,0.00,3.48,0.00
2025-06-05T12:35:00,150.69,80.07,70.62,77.00,0.00,3.07,0.00
2025-06-05T12:40:00,149.51,81.55,67.96,78.45,0.00,3.10,0.00
2025-06-05T12:45:00,147.17,78.89,68.28,75.17,0.00,3.72,0.00
2025-06-05T12:50:00,145.52,77.65,67.87,74.74,0.00,2.91,0.00
2025-06-05T12:55:00,147.3,85.12,62.18,82.48,0.00,2.64,0.00
2025-06-05T13:00:00,153.81,99.33,54.48,96.37,0.00,2.96,0.00
2025-06-05T13:05:00,156.74,106.78,49.96,103.67,0.00,3.11,0.00
2025-06-05T13:10:00,158.43,107.77,50.66,104.88,0.00,2.89,0.00
2025-06-05T13:15:00,165.14,112.31,52.83,110.14,0.00,2.17,0.00
2025-06-05T13:20:00,166.65,114.09,52.56,111.95,0.00,2.14,0.00
2025-06-05T13:25:00,172.12,119.31,52.81,116.81,0.00,2.50,0.00
2025-06-05T13:30:00,168.02,115.7,52.32,112.68,0.00,3.02,0.00
2025-06-05T13:35:00,162.39,108.99,53.40,105.63,0.00,3.36,0.00
2025-06-05T13:40:00,167.49,113.9,53.59,110.30,0.00,3.60,0.00
2025-06-05T13:45:00,157.45,101.15,56.30,97.69,0.00,3.46,0.00
2025-06-05T13:50:00,147.88,88.05,59.83,85.01,0.00,3.04,0.00
2025-06-05T13:55:00,147.1,81.46,65.64,78.82,0.00,2.64,0.00
2025-06-05T14:00:00,143.23,73.1,70.13,70.36,0.00,2.74,0.00
2025-06-05T14:05:00,148.25,77.77,70.48,74.89,0.00,2.88,0.00
2025-06-05T14:10:00,151.38,86.35,65.03,83.36,0.00,2.99,0.00
2025-06-05T14:15:00,149.88,86.85,63.03,83.77,0.00,3.08,0.00
2025-06-05T14:20:00,150.83,85.82,65.01,82.64,0.00,3.18,0.00
2025-06-05T14:25:00,151.05,89.74,61.31,86.70,0.00,3.04,0.00
2025-06-05T14:30:00,151.41,94.25,57.16,90.97,0.00,3.28,0.00
2025-06-05T14:35:00,157.53,101.17,56.36,97.51,0.00,3.66,0.00
2025-06-05T14:40:00,157.93,101.32,56.61,97.27,0.00,4.05,0.00
2025-06-05T14:45:00,152.86,97.43,55.43,92.24,0.00,5.19,0.00
2025-06-05T14:50:00,153.71,98.98,54.73,94.67,0.00,4.31,0.00
2025-06-05T14:55:00,158.09,107.92,50.17,103.37,0.00,4.55,0.00
2025-06-05T15:00:00,155.72,105.47,50.25,101.37,0.00,4.10,0.00
2025-06-05T15:05:00,167.98,114.21,53.77,109.46,0.00,4.75,0.00
2025-06-05T15:10:00,145.22,93.88,51.34,88.98,0.00,4.90,0.00
2025-06-05T15:15:00,147.37,97.12,50.25,93.16,0.00,3.96,0.00
2025-06-05T15:20:00,168.6,108.17,60.43,101.09,0.00,7.08,0.00
2025-06-05T15:25:00,199.2,128.79,70.41,122.18,0.00,6.61,0.00
