Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2025-06-05T09:30:00,253.64,4.2,249.44,4.20,0.00,0.00,0.00
2025-06-05T09:35:00,254.48,4.21,250.27,4.21,0.00,0.00,0.00
2025-06-05T09:40:00,254.38,4.28,250.10,4.28,0.00,0.00,0.00
2025-06-05T09:45:00,254.68,4.23,250.45,4.23,0.00,0.00,0.00
2025-06-05T09:50:00,254.35,4.13,250.22,4.13,0.00,0.00,0.00
2025-06-05T09:55:00,254.11,4.13,249.98,4.13,0.00,0.00,0.00
2025-06-05T10:00:00,255.24,4.13,251.11,4.13,0.00,0.00,0.00
2025-06-05T10:05:00,254.13,4.12,250.01,4.12,0.00,0.00,0.00
2025-06-05T10:10:00,254.86,4,250.86,4.00,0.00,0.00,0.00
2025-06-05T10:15:00,254.94,4.05,250.89,4.05,0.00,0.00,0.00
2025-06-05T10:20:00,253.81,4.02,249.79,4.02,0.00,0.00,0.00
2025-06-05T10:25:00,253.25,3.86,249.39,3.86,0.00,0.00,0.00
2025-06-05T10:35:00,254.69,3.9,250.79,3.90,0.00,0.00,0.00
2025-06-05T10:40:00,255.46,3.9,251.56,3.90,0.00,0.00,0.00
2025-06-05T10:45:00,255.4,3.89,251.51,3.89,0.00,0.00,0.00
2025-06-05T10:50:00,255.96,4.04,251.92,4.04,0.00,0.00,0.00
2025-06-05T10:55:00,256.72,4.03,252.69,4.03,0.00,0.00,0.00
2025-06-05T11:00:00,255.67,3.84,251.83,3.84,0.00,0.00,0.00
2025-06-05T11:05:00,254.61,3.87,250.74,3.87,0.00,0.00,0.00
2025-06-05T11:10:00,255.12,3.94,251.18,3.94,0.00,0.00,0.00
2025-06-05T11:15:00,255.18,3.77,251.41,3.77,0.00,0.00,0.00
2025-06-05T11:20:00,255.08,3.78,251.30,3.78,0.00,0.00,0.00
2025-06-05T11:25:00,253.89,3.68,250.21,3.68,0.00,0.00,0.00
2025-06-05T11:30:00,252.75,3.75,249.00,3.75,0.00,0.00,0.00
2025-06-05T11:35:00,252.53,3.81,248.72,3.81,0.00,0.00,0.00
2025-06-05T11:40:00,254.39,3.75,250.64,3.75,0.00,0.00,0.00
2025-06-05T11:45:00,256.16,3.73,252.43,3.73,0.00,0.00,0.00
2025-06-05T11:50:00,255.82,3.71,252.11,3.71,0.00,0.00,0.00
2025-06-05T11:55:00,256.26,3.85,252.41,3.85,0.00,0.00,0.00
2025-06-05T12:00:00,255.87,3.81,252.06,3.81,0.00,0.00,0.00
2025-06-05T12:05:00,256.68,3.79,252.89,3.79,0.00,0.00,0.00
2025-06-05T12:10:00,256.89,3.82,253.07,3.82,0.00,0.00,0.00
2025-06-05T12:15:00,257.17,3.88,253.29,3.88,0.00,0.00,0.00
2025-06-05T12:20:00,255.96,3.82,252.14,3.82,0.00,0.00,0.00
2025-06-05T12:25:00,256.34,3.86,252.48,3.86,0.00,0.00,0.00
2025-06-05T12:30:00,256.65,3.94,252.71,3.94,0.00,0.00,0.00
2025-06-05T12:35:00,256.86,3.83,253.03,3.83,0.00,0.00,0.00
2025-06-05T12:40:00,255.09,3.87,251.22,3.87,0.00,0.00,0.00
2025-06-05T12:45:00,253.21,3.81,249.40,3.81,0.00,0.00,0.00
2025-06-05T12:50:00,252.98,3.81,249.17,3.81,0.00,0.00,0.00
2025-06-05T12:55:00,252.15,3.84,248.31,3.84,0.00,0.00,0.00
2025-06-05T13:00:00,250.9,4.04,246.86,4.04,0.00,0.00,0.00
2025-06-05T13:05:00,250.44,4.08,246.36,4.08,0.00,0.00,0.00
2025-06-05T13:10:00,251.49,4.08,247.41,4.08,0.00,0.00,0.00
2025-06-05T13:15:00,251.13,4.04,247.09,4.04,0.00,0.00,0.00
2025-06-05T13:20:00,251,3.82,247.18,3.82,0.00,0.00,0.00
2025-06-05T13:25:00,249.47,3.76,245.71,3.76,0.00,0.00,0.00
2025-06-05T13:30:00,247.52,3.76,243.76,3.76,0.00,0.00,0.00
2025-06-05T13:35:00,247.41,3.9,243.51,3.90,0.00,0.00,0.00
2025-06-05T13:40:00,247.96,3.87,244.09,3.87,0.00,0.00,0.00
2025-06-05T13:45:00,246.97,3.63,243.34,3.63,0.00,0.00,0.00
2025-06-05T13:50:00,247.6,3.66,243.94,3.66,0.00,0.00,0.00
2025-06-05T13:55:00,249.07,3.73,245.34,3.73,0.00,0.00,0.00
2025-06-05T14:00:00,246.39,3.63,242.76,3.63,0.00,0.00,0.00
2025-06-05T14:05:00,247.5,3.61,243.89,3.61,0.00,0.00,0.00
2025-06-05T14:10:00,247.29,3.65,243.64,3.65,0.00,0.00,0.00
2025-06-05T14:15:00,246.83,3.65,243.18,3.65,0.00,0.00,0.00
2025-06-05T14:20:00,246.41,3.71,242.70,3.71,0.00,0.00,0.00
2025-06-05T14:25:00,245.54,3.63,241.91,3.63,0.00,0.00,0.00
2025-06-05T14:30:00,244.52,3.65,240.87,3.65,0.00,0.00,0.00
2025-06-05T14:35:00,244.02,3.79,240.23,3.79,0.00,0.00,0.00
2025-06-05T14:40:00,243.43,3.69,239.74,3.69,0.00,0.00,0.00
2025-06-05T14:45:00,242.25,3.46,238.79,3.46,0.00,0.00,0.00
2025-06-05T14:50:00,240.65,3.33,237.32,3.33,0.00,0.00,0.00
