Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2025-06-05T09:30:00,85.39,1.22,84.17,0.00,0.00,0.00,1.22
2025-06-05T09:35:00,85.51,1.19,84.32,0.00,0.00,0.00,1.19
2025-06-05T09:40:00,85.32,1.16,84.16,0.00,0.00,0.00,1.16
2025-06-05T09:45:00,85.46,1.16,84.30,0.00,0.00,0.00,1.16
2025-06-05T09:50:00,85.5,1.17,84.33,0.00,0.00,0.00,1.17
2025-06-05T09:55:00,83.9,1.15,82.75,0.00,0.00,0.00,1.15
2025-06-05T10:00:00,83.73,1.13,82.60,0.00,0.00,0.00,1.13
2025-06-05T10:05:00,85.41,1.13,84.28,0.00,0.00,0.00,1.13
2025-06-05T10:10:00,84.37,1.07,83.30,0.00,0.00,0.00,1.07
2025-06-05T10:15:00,84.28,0.97,83.31,0.00,0.00,0.00,0.97
2025-06-05T10:20:00,84.11,0.89,83.22,0.00,0.00,0.00,0.89
2025-06-05T10:25:00,83.82,0.81,83.01,0.00,0.00,0.00,0.81
2025-06-05T10:35:00,84.7,0.91,83.79,0.00,0.00,0.00,0.91
2025-06-05T10:40:00,84.46,0.85,83.61,0.00,0.00,0.00,0.85
2025-06-05T10:45:00,84.2,0.83,83.37,0.00,0.00,0.00,0.83
2025-06-05T10:50:00,83.84,0.78,83.06,0.00,0.00,0.00,0.78
2025-06-05T10:55:00,82.41,0.46,81.95,0.00,0.00,0.00,0.46
2025-06-05T11:00:00,82.78,0.49,82.29,0.00,0.00,0.00,0.49
2025-06-05T11:05:00,83.22,0.59,82.63,0.00,0.00,0.00,0.59
2025-06-05T11:10:00,83.03,0.53,82.50,0.00,0.00,0.00,0.53
2025-06-05T11:15:00,83.38,0.57,82.81,0.00,0.00,0.00,0.57
2025-06-05T11:20:00,82.73,0.5,82.23,0.00,0.00,0.00,0.50
2025-06-05T11:25:00,82.35,0.57,81.78,0.00,0.00,0.00,0.57
2025-06-05T11:30:00,82.45,0.72,81.73,0.00,0.00,0.00,0.72
2025-06-05T11:35:00,83.35,0.71,82.64,0.00,0.00,0.00,0.71
2025-06-05T11:40:00,84.59,0.81,83.78,0.00,0.00,0.00,0.81
2025-06-05T11:45:00,84.68,0.82,83.86,0.00,0.00,0.00,0.82
2025-06-05T11:50:00,84.16,0.69,83.47,0.00,0.00,0.00,0.69
2025-06-05T11:55:00,84.42,0.72,83.70,0.00,0.00,0.00,0.72
2025-06-05T12:00:00,84.62,0.81,83.81,0.00,0.00,0.00,0.81
2025-06-05T12:05:00,84.68,0.81,83.87,0.00,0.00,0.00,0.81
2025-06-05T12:10:00,84.43,0.73,83.70,0.00,0.00,0.00,0.73
2025-06-05T12:15:00,83.56,0.87,82.69,0.00,0.00,0.00,0.87
2025-06-05T12:20:00,83.33,1.34,81.99,0.00,0.00,0.00,1.34
2025-06-05T12:25:00,85.26,1.64,83.62,0.00,0.00,0.00,1.64
2025-06-05T12:30:00,84.82,1.49,83.33,0.00,0.00,0.00,1.49
2025-06-05T12:35:00,84.39,1.54,82.85,0.00,0.00,0.00,1.54
2025-06-05T12:40:00,84.49,1.55,82.94,0.00,0.00,0.00,1.55
2025-06-05T12:45:00,82.86,1.4,81.46,0.00,0.00,0.00,1.40
2025-06-05T12:50:00,82.67,1.46,81.21,0.00,0.00,0.00,1.46
2025-06-05T12:55:00,82.78,1.47,81.31,0.00,0.00,0.00,1.47
2025-06-05T13:00:00,82.58,1.57,81.01,0.00,0.00,0.00,1.57
2025-06-05T13:05:00,83.03,1.56,81.47,0.00,0.00,0.00,1.56
2025-06-05T13:10:00,82.51,1.54,80.97,0.00,0.00,0.00,1.54
2025-06-05T13:15:00,82.38,1.49,80.89,0.00,0.00,0.00,1.49
2025-06-05T13:20:00,82.76,1.54,81.22,0.00,0.00,0.00,1.54
2025-06-05T13:25:00,82.95,1.5,81.45,0.00,0.00,0.00,1.50
2025-06-05T13:30:00,83.16,1.76,81.40,0.00,0.00,0.00,1.76
2025-06-05T13:35:00,83.27,1.79,81.48,0.00,0.00,0.00,1.79
2025-06-05T13:40:00,83.7,1.86,81.84,0.00,0.00,0.00,1.86
2025-06-05T13:45:00,83.75,1.88,81.87,0.00,0.00,0.00,1.88
2025-06-05T13:50:00,83.14,1.76,81.38,0.00,0.00,0.00,1.76
2025-06-05T13:55:00,83.29,1.8,81.49,0.00,0.00,0.00,1.80
2025-06-05T14:00:00,83.49,1.9,81.59,0.00,0.00,0.00,1.90
2025-06-05T14:05:00,83.45,1.73,81.72,0.00,0.00,0.00,1.73
2025-06-05T14:10:00,82.86,1.55,81.31,0.00,0.00,0.00,1.55
2025-06-05T14:15:00,83.62,1.52,82.10,0.00,0.00,0.00,1.52
2025-06-05T14:20:00,82.79,1.24,81.55,0.00,0.00,0.00,1.24
2025-06-05T14:25:00,82.17,1.2,80.97,0.00,0.00,0.00,1.20
2025-06-05T14:30:00,81.33,1.14,80.19,0.00,0.00,0.00,1.14
2025-06-05T14:35:00,81.36,1.24,80.12,0.00,0.00,0.00,1.24
2025-06-05T14:40:00,81.08,1.22,79.86,0.00,0.00,0.00,1.22
2025-06-05T14:45:00,81.36,1.16,80.20,0.00,0.00,0.00,1.16
2025-06-05T14:50:00,81.23,1.18,80.05,0.00,0.00,0.00,1.18
2025-06-05T14:55:00,81.6,1.19,80.41,0.00,0.00,0.00,1.19
2025-06-05T15:00:00,82.29,1.34,80.95,0.00,0.00,0.00,1.34
2025-06-05T15:05:00,82.63,1.36,81.27,0.00,0.00,0.00,1.36
2025-06-05T15:10:00,82.79,1.42,81.37,0.00,0.00,0.00,1.42
