Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2025-06-05T09:30:00,275.03,1.99,273.04,1.64,0.00,0.35,0.00
2025-06-05T09:35:00,276.33,2.04,274.29,1.74,0.00,0.30,0.00
2025-06-05T09:40:00,276.45,2.18,274.27,1.84,0.00,0.34,0.00
2025-06-05T09:45:00,276.06,1.94,274.12,1.64,0.00,0.30,0.00
2025-06-05T09:50:00,275.71,1.8,273.91,1.50,0.00,0.30,0.00
2025-06-05T09:55:00,276.48,1.86,274.62,1.56,0.00,0.30,0.00
2025-06-05T10:00:00,276.74,1.96,274.78,1.65,0.00,0.31,0.00
2025-06-05T10:05:00,274.16,1.61,272.55,1.29,0.00,0.32,0.00
2025-06-05T10:10:00,276.15,1.35,274.80,1.04,0.00,0.31,0.00
2025-06-05T10:15:00,274.68,1.44,273.24,1.12,0.00,0.32,0.00
2025-06-05T10:20:00,272.34,1.76,270.58,1.43,0.00,0.33,0.00
2025-06-05T10:25:00,270.78,2.13,268.65,1.83,0.00,0.30,0.00
2025-06-05T10:35:00,265.27,1.7,263.57,1.40,0.00,0.30,0.00
2025-06-05T10:40:00,249.05,1.72,247.33,1.42,0.00,0.30,0.00
2025-06-05T10:45:00,244.58,1.97,242.61,1.67,0.00,0.30,0.00
2025-06-05T10:50:00,246.02,2.65,243.37,2.27,0.00,0.38,0.00
2025-06-05T10:55:00,245.67,3.4,242.27,3.07,0.00,0.33,0.00
2025-06-05T11:00:00,254.47,3.49,250.98,3.19,0.00,0.30,0.00
2025-06-05T11:05:00,263.25,3.6,259.65,3.30,0.00,0.30,0.00
2025-06-05T11:10:00,262.66,3.55,259.11,3.25,0.00,0.30,0.00
2025-06-05T11:15:00,261.48,3.37,258.11,3.04,0.00,0.33,0.00
2025-06-05T11:20:00,260.48,2.45,258.03,2.15,0.00,0.30,0.00
2025-06-05T11:25:00,261.59,2.08,259.51,1.78,0.00,0.30,0.00
2025-06-05T11:30:00,263.69,1.86,261.83,1.55,0.00,0.31,0.00
2025-06-05T11:35:00,262.2,2.14,260.06,1.74,0.00,0.40,0.00
2025-06-05T11:40:00,261.96,2.3,259.66,1.95,0.00,0.35,0.00
2025-06-05T11:45:00,261.63,2.23,259.40,1.85,0.00,0.38,0.00
2025-06-05T11:50:00,261.79,2.05,259.74,1.75,0.00,0.30,0.00
2025-06-05T11:55:00,263.68,2.13,261.55,1.77,0.00,0.36,0.00
2025-06-05T12:00:00,265.36,2.07,263.29,1.74,0.00,0.33,0.00
2025-06-05T12:05:00,265.89,1.76,264.13,1.46,0.00,0.30,0.00
2025-06-05T12:10:00,265.56,1.92,263.64,1.61,0.00,0.31,0.00
2025-06-05T12:15:00,267.34,1.84,265.50,1.46,0.00,0.38,0.00
2025-06-05T12:20:00,267.61,2.11,265.50,1.73,0.00,0.38,0.00
2025-06-05T12:25:00,265.88,1.83,264.05,1.53,0.00,0.30,0.00
2025-06-05T12:30:00,263.88,2.45,261.43,2.15,0.00,0.30,0.00
2025-06-05T12:35:00,262.25,3.1,259.15,2.76,0.00,0.34,0.00
2025-06-05T12:40:00,261.19,5.91,255.28,5.59,0.00,0.32,0.00
2025-06-05T12:45:00,260.25,6.49,253.76,6.19,0.00,0.30,0.00
2025-06-05T12:50:00,259.07,8.17,250.90,7.87,0.00,0.30,0.00
2025-06-05T12:55:00,256.03,8.39,247.64,8.08,0.00,0.31,0.00
2025-06-05T13:00:00,256.27,10.05,246.22,9.70,0.00,0.35,0.00
2025-06-05T13:05:00,256.42,9.66,246.76,9.35,0.00,0.31,0.00
2025-06-05T13:10:00,256.46,9.87,246.59,9.49,0.00,0.38,0.00
2025-06-05T13:15:00,254.44,8.65,245.79,8.16,0.00,0.49,0.00
2025-06-05T13:20:00,252.36,8.15,244.21,7.71,0.00,0.44,0.00
2025-06-05T13:25:00,250.43,9.19,241.24,8.88,0.00,0.31,0.00
2025-06-05T13:30:00,249.44,9.37,240.07,9.07,0.00,0.30,0.00
2025-06-05T13:35:00,248.26,8.97,239.29,8.67,0.00,0.30,0.00
2025-06-05T13:40:00,244.56,7.22,237.34,6.87,0.00,0.35,0.00
2025-06-05T13:45:00,243.21,7.77,235.44,7.35,0.00,0.42,0.00
2025-06-05T13:50:00,243.28,7.91,235.37,7.57,0.00,0.34,0.00
2025-06-05T13:55:00,243.14,8.7,234.44,8.40,0.00,0.30,0.00
2025-06-05T14:00:00,238.87,9.38,229.49,9.08,0.00,0.30,0.00
2025-06-05T14:05:00,235.58,7.75,227.83,7.36,0.00,0.39,0.00
2025-06-05T14:10:00,235.69,9.01,226.68,8.71,0.00,0.30,0.00
2025-06-05T14:15:00,235.45,9.67,225.78,9.35,0.00,0.32,0.00
2025-06-05T14:20:00,231.8,12.67,219.13,12.37,0.00,0.30,0.00
2025-06-05T14:25:00,230.94,11.77,219.17,11.44,0.00,0.33,0.00
2025-06-05T14:30:00,228.18,9.4,218.78,9.10,0.00,0.30,0.00
2025-06-05T14:35:00,226.7,8.04,218.66,7.74,0.00,0.30,0.00
2025-06-05T14:40:00,226,6.81,219.19,6.45,0.00,0.36,0.00
2025-06-05T14:45:00,226.65,6.93,219.72,6.57,0.00,0.36,0.00
2025-06-05T14:50:00,228.35,7.79,220.56,7.48,0.00,0.31,0.00
2025-06-05T14:55:00,229.66,8.96,220.70,8.65,0.00,0.31,0.00
2025-06-05T15:00:00,228.46,7.48,220.98,7.18,0.00,0.30,0.00
2025-06-05T15:05:00,227.63,6.92,220.71,6.59,0.00,0.33,0.00
2025-06-05T15:10:00,228.39,6.92,221.47,6.62,0.00,0.30,0.00
2025-06-05T15:15:00,231.56,8.05,223.51,7.74,0.00,0.31,0.00
2025-06-05T15:20:00,235.48,7.75,227.73,7.45,0.00,0.30,0.00
2025-06-05T15:25:00,238.16,7.14,231.02,6.83,0.00,0.31,0.00
